Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Channel
8090,3199,6986,1455,3712,531,Cafe
6758,4560,9965,934,4538,1037,Cafe
444,879,2060,264,290,259,Cafe
16448,6243,6360,824,2662,2005,Hotel
5283,13316,20399,1809,8752,172,Restaurant
2886,5302,9785,364,6236,555,Restaurant
2599,3688,13829,492,10069,59,Restaurant
161,7460,24773,617,11783,2410,Restaurant
243,12939,8852,799,3909,211,Cafe
6468,12867,21570,1840,7558,1543,Hotel
17327,2374,2842,1149,351,925,Hotel
6987,1020,3007,416,257,656,Cafe
918,20655,13567,1465,6846,806,Cafe
7034,1492,2405,12569,299,1117,Restaurant
29635,2335,8280,3046,371,117,Restaurant
2137,3737,19172,1274,17120,142,Hotel
9784,925,2405,4447,183,297,Restaurant
10617,1795,7647,1483,857,1233,Cafe
1479,14982,11924,662,3891,3508,Restaurant
7127,1375,2201,2679,83,1059,Restaurant
1182,3088,6114,978,821,1637,Hotel
11800,2713,3558,2121,706,51,Restaurant
9759,25071,17645,1128,12408,1625,Hotel
1774,3696,2280,514,275,834,Cafe
9155,1897,5167,2714,228,1113,Cafe
15881,713,3315,3703,1470,229,Hotel
13360,944,11593,915,1679,573,Cafe
25977,3587,2464,2369,140,1092,Hotel
32717,16784,13626,60869,1272,5609,Hotel
4414,1610,1431,3498,387,834,Cafe
542,899,1664,414,88,522,Restaurant
16933,2209,3389,7849,210,1534,Restaurant
5113,1486,4583,5127,492,739,Cafe
9790,1786,5109,3570,182,1043,Hotel
11223,14881,26839,1234,9606,1102,Cafe
22321,3216,1447,2208,178,2602,Hotel
8565,4980,67298,131,38102,1215,Restaurant
16823,928,2743,11559,332,3486,Cafe
27082,6817,10790,1365,4111,2139,Cafe
13970,1511,1330,650,146,778,Hotel
9351,1347,2611,8170,442,868,Hotel
3,333,7021,15601,15,550,Hotel
